id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
7943;new order;icb;1981;pop;0.6122603704104842;0.6679742583903802;0.8330585325638913;0.7016923851876053
7963;abba;the visitors;1981;pop;0.6035957976822268;0.662590057175089;0.7392827699917559;0.6065943200628487
7966;abba;under attack;1981;pop;0.8949420556698798;0.7168935722893109;0.9690849134377576;0.6846748366915963
8004;the j. geils band;centerfold;1981;pop;0.6404202317773205;0.6002871573981488;0.8907666941467436;0.6776676108402985
8011;orchestral manoeuvres in the dark;souvenir;1981;pop;0.7357305317881513;0.7204574007127656;0.8464550700741962;0.7427347080309215
8028;chaka khan;fate;1981;pop;0.6599155204158995;0.6811783708945465;0.8773701566364386;0.690681030278423
8053;oingo boingo;perfect system;1981;pop;0.7259828874688617;0.6294644001743455;0.778441879637263;0.8778740637345229
8080;oingo boingo;on the outside;1981;pop;0.7184013863316365;0.6115939799502602;0.8474855729596042;0.763756385584815
8100;the moody blues;gemini dream;1981;pop;0.6404202317773205;0.7217393533830729;0.9793899422918384;0.8508461925938026
8105;don henley;johnny can't read;1982;pop;0.6133434420015164;0.7516344896546419;0.9762984336356142;0.9589576771566838
8120;missing persons;noticeable one;1982;pop;0.6382540885952561;0.6366946132348792;0.8629431162407254;0.8958926444950032
8134;orange juice;flesh of my flesh;1982;pop;0.6631647351889961;0.6428223469989487;0.8330585325638913;0.600588126476022
8162;gary numan;music for chameleons;1982;pop;0.6934907397378968;0.6636412583647411;0.7073371805441054;0.608596384591791
8208;billy idol;dead on arrival;1982;pop;0.6577493772338353;0.7933235904930389;0.8289365210222588;0.788782192196593
8282;siouxsie and the banshees;slowdive;1982;pop;0.6447525181414493;0.7757864779632335;0.7949299258037923;0.8368317408912069
8285;duran duran;my own way;1982;pop;0.6230910863208059;0.7372766197471989;0.7351607584501235;0.8738699346766384
8288;john mellencamp;hand to hold on to;1982;pop;0.7443951045164087;0.7902469040843012;0.9608408903544929;0.8428379344780338
8299;abc;poison arrow;1982;pop;0.7303151738329904;0.7630951465271901;0.8021434460016489;0.8768730314700517
8308;xtc;senses working overtime;1982;pop;0.6696631647351892;0.6094659385175498;0.8639736191261335;0.665655223666645
8309;missing persons;walking in l.a.;1982;pop;0.702155312466154;0.6372330333564085;0.9659934047815333;0.7737667082295262
8337;roxy music;more than this;1982;pop;0.6393371601862884;0.7140219983078224;0.7640148392415499;0.666656255931116
8345;don henley;dirty laundry;1982;pop;0.7563088920177624;0.7439940517396098;0.9608408903544929;0.779772901816353
8382;oingo boingo;grey matter;1982;pop;0.6739954510993178;0.6312591339127759;0.856760098928277;0.8888854186437053
8440;glenn frey;partytown;1982;pop;0.7054045272392505;0.7147911699100069;0.9783594394064303;0.7006913529231342
